control_strength,drift_rate,beta_gain,replicate,seed,beta_hat,theta_hat,r_squared,tau_break,tau_delay,control_energy,beta_shift,delta_aic_linear,delta_aic_constant,meta_resonance_control_centrality,meta_resonance_crep,meta_resonance_combined
0.35,0.01,1.0,0,1376,4.894689897879865,-0.010981258226154067,0.9924520196751758,90.0,nan,9.922499994427758,0.694689897879865,7017.8839010498705,11730.427094826058,0.5901492315720778,0.12114735866948682,0.07149502062578454
0.35,0.01,1.0,1,1377,4.894689897879865,-0.010981258226154067,0.9924520196751758,90.0,nan,9.922499994427758,0.694689897879865,7017.8839010498705,11730.427094826058,0.5901492315720778,0.12114735866948682,0.07149502062578454
0.35,0.01,1.0,2,1378,4.894689897879865,-0.010981258226154067,0.9924520196751758,90.0,nan,9.922499994427758,0.694689897879865,7017.8839010498705,11730.427094826058,0.5901492315720778,0.12114735866948682,0.07149502062578454
0.35,0.01,1.2,0,1379,5.048491642867572,-0.012027673228686834,0.9899764490181113,90.0,nan,9.922499994427758,0.8484916428675717,6588.969829854459,11049.365673928227,0.6606465780914069,0.11898260243018202,0.07860544914791007
0.35,0.01,1.2,1,1380,5.048491642867572,-0.012027673228686834,0.9899764490181113,90.0,nan,9.922499994427758,0.8484916428675717,6588.969829854459,11049.365673928227,0.6606465780914069,0.11898260243018202,0.07860544914791007
0.35,0.01,1.2,2,1381,5.048491642867572,-0.012027673228686834,0.9899764490181113,90.0,nan,9.922499994427758,0.8484916428675717,6588.969829854459,11049.365673928227,0.6606465780914069,0.11898260243018202,0.07860544914791007
0.35,0.012,0.8,0,1382,4.843631527458085,-0.0008752359238728427,0.9980108460586273,75.0,8.75,9.922499994427758,0.6436315274580844,9394.524345977201,14932.330171659065,0.5225091630268731,0.25245245255857846,0.13190871969046422
0.35,0.012,0.8,1,1383,4.843631527458085,-0.0008752359238728427,0.9980108460586273,75.0,8.25,9.922499994427758,0.6436315274580844,9394.524345977201,14932.330171659065,0.5225091630268731,0.25245245255857846,0.13190871969046422
0.35,0.012,0.8,2,1384,4.843631527458085,-0.0008752359238728427,0.9980108460586273,75.0,8.200000000000003,9.922499994427758,0.6436315274580844,9394.524345977201,14932.330171659065,0.5225091630268731,0.25245245255857846,0.13190871969046422
0.35,0.012,1.0,0,1385,5.017201720290135,-0.0009016646069184428,0.9972445975451822,75.0,8.150000000000006,9.922499994427758,0.8172017202901349,8847.16953377295,14149.954428827703,0.5901492315720778,0.2538969442490521,0.14983708654707678
0.35,0.012,1.0,1,1386,5.017201720290135,-0.0009016646069184428,0.9972445975451822,75.0,8.150000000000006,9.922499994427758,0.8172017202901349,8847.16953377295,14149.954428827703,0.5901492315720778,0.2538969442490521,0.14983708654707678
0.35,0.012,1.0,2,1387,5.017201720290135,-0.0009016646069184428,0.9972445975451822,75.0,9.25,9.922499994427758,0.8172017202901349,8847.16953377295,14149.954428827703,0.5901492315720778,0.2538969442490521,0.14983708654707678
0.35,0.012,1.2,0,1388,5.195903221610412,-0.0008832809034733618,0.9964810882791059,75.0,8.0,9.922499994427758,0.995903221610412,8471.927911099563,13562.698021208857,0.6606465780914069,0.2553366492498082,0.16868728358821158
0.35,0.012,1.2,1,1389,5.195903221610412,-0.0008832809034733618,0.9964810882791059,75.0,8.650000000000006,9.922499994427758,0.995903221610412,8471.927911099563,13562.698021208857,0.6606465780914069,0.2553366492498082,0.16868728358821158
0.35,0.012,1.2,2,1390,5.195903221610412,-0.0008832809034733618,0.9964810882791059,75.0,8.549999999999997,9.922499994427758,0.995903221610412,8471.927911099563,13562.698021208857,0.6606465780914069,0.2553366492498082,0.16868728358821158
0.45,0.008,0.8,0,1391,4.191530809337609,-0.08962729689573327,0.9467738909431817,112.5,nan,16.402499990788744,-0.00846919066239149,2014.481007152037,7040.628161300636,0.6717974953202657,0.02822284771578675,0.01896003840627082
0.45,0.008,0.8,1,1392,4.191530809337609,-0.08962729689573327,0.9467738909431817,112.5,nan,16.402499990788744,-0.00846919066239149,2014.481007152037,7040.628161300636,0.6717974953202657,0.02822284771578675,0.01896003840627082
0.45,0.008,0.8,2,1393,4.191530809337609,-0.08962729689573327,0.9467738909431817,112.5,nan,16.402499990788744,-0.00846919066239149,2014.481007152037,7040.628161300636,0.6717974953202657,0.02822284771578675,0.01896003840627082
0.45,0.008,1.0,0,1394,4.155998946858295,-0.11658987768091968,0.9161176135757275,112.5,nan,16.402499990788744,-0.04400105314170499,1424.932050880885,5948.493434575332,0.758763297735528,0.026203233635355237,0.019882051964496647
0.45,0.008,1.0,1,1395,4.155998946858295,-0.11658987768091968,0.9161176135757275,112.5,nan,16.402499990788744,-0.04400105314170499,1424.932050880885,5948.493434575332,0.758763297735528,0.026203233635355237,0.019882051964496647
0.45,0.008,1.0,2,1396,4.155998946858295,-0.11658987768091968,0.9161176135757275,112.5,nan,16.402499990788744,-0.04400105314170499,1424.932050880885,5948.493434575332,0.758763297735528,0.026203233635355237,0.019882051964496647
0.45,0.008,1.2,0,1397,4.10569703106943,-0.14616425364745317,0.8783844668819367,112.5,nan,16.402499990788744,-0.09430296893057033,1028.1142823385017,5056.64427813888,0.8494027432603805,0.024390389751096468,0.02071726396377121
0.45,0.008,1.2,1,1398,4.10569703106943,-0.14616425364745317,0.8783844668819367,112.5,nan,16.402499990788744,-0.09430296893057033,1028.1142823385017,5056.64427813888,0.8494027432603805,0.024390389751096468,0.02071726396377121
0.45,0.008,1.2,2,1399,4.10569703106943,-0.14616425364745317,0.8783844668819367,112.5,nan,16.402499990788744,-0.09430296893057033,1028.1142823385017,5056.64427813888,0.8494027432603805,0.024390389751096468,0.02071726396377121
0.45,0.01,0.8,0,1400,4.6305014824190565,-0.020636053624477305,0.9901695748631935,90.0,nan,16.402499990788744,0.4305014824190563,6160.885819072875,11096.077705527501,0.6717974953202657,0.08236176947755314,0.0553304304451653
0.45,0.01,0.8,1,1401,4.6305014824190565,-0.020636053624477305,0.9901695748631935,90.0,nan,16.402499990788744,0.4305014824190563,6160.885819072875,11096.077705527501,0.6717974953202657,0.08236176947755314,0.0553304304451653
0.45,0.01,0.8,2,1402,4.6305014824190565,-0.020636053624477305,0.9901695748631935,90.0,nan,16.402499990788744,0.4305014824190563,6160.885819072875,11096.077705527501,0.6717974953202657,0.08236176947755314,0.0553304304451653
0.45,0.01,1.0,0,1403,4.741519364729894,-0.024748330765230097,0.98541790989081,90.0,nan,16.402499990788744,0.5415193647298935,5501.6947309660245,10149.334860734838,0.758763297735528,0.07956239492833017,0.060369025151556246
0.45,0.01,1.0,1,1404,4.741519364729894,-0.024748330765230097,0.98541790989081,90.0,nan,16.402499990788744,0.5415193647298935,5501.6947309660245,10149.334860734838,0.758763297735528,0.07956239492833017,0.060369025151556246
0.45,0.01,1.0,2,1405,4.741519364729894,-0.024748330765230097,0.98541790989081,90.0,nan,16.402499990788744,0.5415193647298935,5501.6947309660245,10149.334860734838,0.758763297735528,0.07956239492833017,0.060369025151556246
0.45,0.01,1.2,0,1406,4.85441791094217,-0.02847315969715462,0.9800185477891107,90.0,nan,16.402499990788744,0.6544179109421702,5011.568726349393,9392.99493124597,0.8494027432603805,0.07686787301827144,0.06529178221031035
0.45,0.01,1.2,1,1407,4.85441791094217,-0.02847315969715462,0.9800185477891107,90.0,nan,16.402499990788744,0.6544179109421702,5011.568726349393,9392.99493124597,0.8494027432603805,0.07686787301827144,0.06529178221031035
0.45,0.01,1.2,2,1408,4.85441791094217,-0.02847315969715462,0.9800185477891107,90.0,nan,16.402499990788744,0.6544179109421702,5011.568726349393,9392.99493124597,0.8494027432603805,0.07686787301827144,0.06529178221031035
0.45,0.012,0.8,0,1409,4.805516358608213,-0.003304602520815768,0.9970291660448449,75.0,nan,16.402499990788744,0.6055163586082131,8721.224208753261,13969.209086814943,0.6717974953202657,0.18893626150779622,0.12692690725611222
0.45,0.012,0.8,1,1410,4.805516358608213,-0.003304602520815768,0.9970291660448449,75.0,nan,16.402499990788744,0.6055163586082131,8721.224208753261,13969.209086814943,0.6717974953202657,0.18893626150779622,0.12692690725611222
0.45,0.012,0.8,2,1411,4.805516358608213,-0.003304602520815768,0.9970291660448449,75.0,nan,16.402499990788744,0.6055163586082131,8721.224208753261,13969.209086814943,0.6717974953202657,0.18893626150779622,0.12692690725611222
0.45,0.012,1.0,0,1412,4.969619967224473,-0.00363937217548443,0.9958262104594593,75.0,nan,16.402499990788744,0.7696199672244726,8150.7911396165855,13152.913074397127,0.758763297735528,0.18854316811447572,0.14305963600404364
0.45,0.012,1.0,1,1413,4.969619967224473,-0.00363937217548443,0.9958262104594593,75.0,nan,16.402499990788744,0.7696199672244726,8150.7911396165855,13152.913074397127,0.758763297735528,0.18854316811447572,0.14305963600404364
0.45,0.012,1.0,2,1414,4.969619967224473,-0.00363937217548443,0.9958262104594593,75.0,nan,16.402499990788744,0.7696199672244726,8150.7911396165855,13152.913074397127,0.758763297735528,0.18854316811447572,0.14305963600404364
0.45,0.012,1.2,0,1415,5.139340705353411,-0.0038258973406873173,0.9945923543037662,75.0,nan,16.402499990788744,0.9393407053534109,7752.602005414001,12531.07943858675,0.8494027432603805,0.18817590275399848,0.1598371280147449
0.45,0.012,1.2,1,1416,5.139340705353411,-0.0038258973406873173,0.9945923543037662,75.0,nan,16.402499990788744,0.9393407053534109,7752.602005414001,12531.07943858675,0.8494027432603805,0.18817590275399848,0.1598371280147449
0.45,0.012,1.2,2,1417,5.139340705353411,-0.0038258973406873173,0.9945923543037662,75.0,nan,16.402499990788744,0.9393407053534109,7752.602005414001,12531.07943858675,0.8494027432603805,0.18817590275399848,0.1598371280147449
